[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.93 | err_x=13.8px err_y=-169.1px | cmd vx=5.00 vy=0.28 vz=-4.00 | meas vx=0.00 vy=0.00 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.93 | err_x=13.6px err_y=-169.1px | cmd vx=5.00 vy=0.27 vz=-4.00 | meas vx=0.00 vy=0.00 vz=0.01 | Alt=-0.22
[CONTROL] det_conf=0.93 | err_x=13.5px err_y=-169.1px | cmd vx=5.00 vy=0.27 vz=-4.00 | meas vx=0.00 vy=0.00 vz=0.01 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=13.2px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.01 | Alt=-0.21
[CONTROL] det_conf=0.92 | err_x=13.1px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.01 | Alt=-0.21
[CONTROL] det_conf=0.92 | err_x=13.0px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=13.0px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.01 vz=0.02 | Alt=-0.22
[CONTROL] det_conf=0.92 | err_x=13.0px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.23
[CONTROL] det_conf=0.92 | err_x=13.0px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.23
[CONTROL] det_conf=0.92 | err_x=13.0px err_y=-169.1px | cmd vx=5.00 vy=0.26 vz=-4.00 | meas vx=0.00 vy=0.02 vz=0.02 | Alt=-0.23
